date,code,open,high,low,close,volume,turn,peTTM,psTTM,pcfNcfTTM,pbMRQ,roeAvg
2025-02-20,sh.600028,5.688528,5.717355,5.66931,5.678919,136551273.0,0.144,13.852311,0.230562,-55.482158,0.875071,0.054461
2025-02-21,sh.600028,5.688528,5.707746,5.659701,5.678919,124865575.0,0.1317,13.852311,0.230562,-55.482158,0.875071,0.054461
2025-02-24,sh.600028,5.66931,5.678919,5.640483,5.650092,134193900.0,0.1415,13.781995,0.229391,-55.200522,0.870629,0.054461
2025-02-25,sh.600028,5.640483,5.66931,5.582829,5.592438,149208209.0,0.1573,13.641362,0.227051,-54.637252,0.861745,0.054461
2025-02-26,sh.600028,5.57322,5.611656,5.505957,5.563611,186769457.0,0.1969,13.571046,0.22588,-54.355616,0.857303,0.054461
2025-02-27,sh.600028,5.563611,5.611656,5.525175,5.611656,184045467.0,0.1941,13.68824,0.227831,-54.825009,0.864706,0.054461
2025-02-28,sh.600028,5.592438,5.650092,5.554002,5.554002,179805187.0,0.1896,13.547607,0.22549,-54.261738,0.855822,0.054461
2025-03-03,sh.600028,5.554002,5.582829,5.505957,5.515566,159040534.0,0.1677,13.453852,0.22393,-53.886224,0.8499,0.054461
2025-03-04,sh.600028,5.496348,5.505957,5.429085,5.438694,148210060.0,0.1563,13.266342,0.220809,-53.135197,0.838054,0.054461
2025-03-05,sh.600028,5.438694,5.47713,5.409867,5.457912,124452618.0,0.1312,13.31322,0.221589,-53.322954,0.841016,0.054461
2025-03-06,sh.600028,5.438694,5.47713,5.429085,5.467521,124714581.0,0.1315,13.336658,0.221979,-53.416832,0.842496,0.054461
2025-03-07,sh.600028,5.467521,5.534784,5.457912,5.505957,130306153.0,0.1374,13.430413,0.22354,-53.792346,0.848419,0.054461
2025-03-10,sh.600028,5.505957,5.515566,5.448303,5.467521,96825754.0,0.1021,13.336658,0.221979,-53.416832,0.842496,0.054461
2025-03-11,sh.600028,5.438694,5.47713,5.438694,5.47713,97164213.0,0.1024,13.360097,0.222369,-53.51071,0.843977,0.054461
2025-03-12,sh.600028,5.467521,5.47713,5.438694,5.438694,107272000.0,0.1131,13.266342,0.220809,-53.135197,0.838054,0.054461
2025-03-13,sh.600028,5.448303,5.525175,5.448303,5.505957,179181212.0,0.1889,13.430413,0.22354,-53.792346,0.848419,0.054461
2025-03-14,sh.600028,5.496348,5.582829,5.486739,5.57322,199746701.0,0.2106,13.594485,0.22627,-54.449495,0.858784,0.054461
2025-03-17,sh.600028,5.592438,5.640483,5.592438,5.621265,140706474.0,0.1484,13.711679,0.228221,-54.918887,0.866187,0.054461
2025-03-18,sh.600028,5.621265,5.630874,5.582829,5.592438,88784201.0,0.0936,13.641362,0.227051,-54.637252,0.861745,0.054461
2025-03-19,sh.600028,5.582829,5.621265,5.57322,5.621265,74744209.0,0.0788,13.711679,0.228221,-54.918887,0.866187,0.054461
2025-03-20,sh.600028,5.611656,5.640483,5.602047,5.630874,99858341.0,0.1053,13.735117,0.228611,-55.012765,0.867668,0.054461
2025-03-21,sh.600028,5.630874,5.698137,5.582829,5.582829,153058289.0,0.1614,13.617924,0.226661,-54.543373,0.860264,0.054461
2025-03-24,sh.600028,5.534784,5.563611,5.47713,5.505957,175742456.0,0.1853,13.812401,0.22603,-22.811952,0.847572,0.061896
2025-03-25,sh.600028,5.525175,5.554002,5.515566,5.544393,110156120.0,0.1161,13.908822,0.227608,-22.971198,0.853489,0.061896
2025-03-26,sh.600028,5.544393,5.57322,5.515566,5.534784,112424472.0,0.1185,13.884717,0.227213,-22.931387,0.85201,0.061896
2025-03-27,sh.600028,5.544393,5.611656,5.544393,5.602047,122256906.0,0.1289,14.053455,0.229975,-23.210067,0.862364,0.061896
2025-03-28,sh.600028,5.611656,5.611656,5.534784,5.544393,87796120.0,0.0926,13.908822,0.227608,-22.971198,0.853489,0.061896
2025-03-31,sh.600028,5.554002,5.592438,5.496348,5.505957,126673418.0,0.1336,13.812401,0.22603,-22.811952,0.847572,0.061896
2025-04-01,sh.600028,5.525175,5.554002,5.486739,5.505957,108575423.0,0.1145,13.812401,0.22603,-22.811952,0.847572,0.061896
2025-04-02,sh.600028,5.505957,5.534784,5.496348,5.525175,78806985.0,0.0831,13.860611,0.226819,-22.891575,0.850531,0.061896
2025-04-03,sh.600028,5.486739,5.563611,5.486739,5.554002,111757087.0,0.1178,13.932928,0.228002,-23.011009,0.854968,0.061896
2025-04-07,sh.600028,5.409867,5.409867,5.044725,5.169642,388042554.0,0.4091,12.968711,0.212224,-21.418552,0.795801,0.061896
