code,pubDate,statDate,roeAvg,npMargin,gpMargin,netProfit,epsTTM,MBRevenue,totalShare,liqaShare
sh.600150,2025-10-29,2025-09-30,0.060944,0.073004,0.125602,7840870229.190000,0.896847,,7525621288.00,7525621288.00
sh.600150,2024-04-27,2024-03-31,0.008279,0.026527,0.072182,405072208.080000,0.741188,,4472428758.00,4472428758.00
sh.600150,2024-08-31,2024-06-30,0.029098,0.040593,0.081724,1462012401.430000,0.853353,35507743700.000000,4472428758.00,4472428758.00
sh.600150,2024-10-31,2024-09-30,0.046390,0.041961,0.094088,2356915014.190000,0.596257,,4472428758.00,4472428758.00
sh.600150,2025-04-30,2024-12-31,0.072830,0.049089,0.102042,3857598528.650000,0.808092,77667462800.000000,4472428758.00,4472428758.00
sh.600276,2025-04-25,2025-03-31,0.040517,0.260414,0.851690,1876441961.320000,1.072527,,6379002274.00,6379002274.00
sh.600276,2025-08-21,2025-06-30,0.085592,0.282635,0.865812,4454670657.210000,1.108131,15761193628.900000,6637199874.00,6379002274.00
sh.600276,2025-10-28,2025-09-30,0.109521,0.248414,0.862195,5760235152.020000,1.125191,,6637199874.00,6379002274.00
sh.600276,2024-04-18,2024-03-31,0.033251,0.228009,0.842794,1367488687.720000,0.694820,,6379002274.00,6374207986.00
sh.600276,2024-08-22,2024-06-30,0.082605,0.252055,0.862265,3428132358.040000,0.850591,13600734114.770000,6379002274.00,6379002274.00
sh.600276,2024-10-25,2024-09-30,0.109685,0.228652,0.859669,4616330177.460000,0.854089,,6379002274.00,6379002274.00
sh.600276,2025-03-31,2024-12-31,0.147386,0.226446,0.862489,6336994647.530000,0.993341,25009582466.060000,6379002274.00,6379002274.00
sh.600309,2025-04-15,2025-03-31,0.031949,0.078407,0.157049,3376828034.870000,3.808509,,3139746626.00,3139746626.00
sh.600309,2025-08-12,2025-06-30,0.062997,0.073875,0.138412,6715298768.960000,3.497551,90537202937.840000,3139746626.00,3139746626.00
sh.600309,2025-10-25,2025-09-30,0.091675,0.069944,0.134435,10087767409.990000,3.544843,,3130471626.00,3130471626.00
sh.600309,2024-04-19,2024-03-31,0.045923,0.098857,0.176281,4563358857.140000,5.388961,,3139746626.00,3139746626.00
sh.600309,2024-08-13,2024-06-30,0.090756,0.092429,0.164140,8971839130.550000,5.230324,96412063555.440000,3139746626.00,3139746626.00
sh.600309,2024-10-29,2024-09-30,0.122000,0.083335,0.153810,12300644333.980000,4.843033,,3139746626.00,3139746626.00
sh.600309,2025-04-15,2024-12-31,0.142219,0.081240,0.161623,14791313747.020000,4.150993,181349864513.230000,3139746626.00,3139746626.00
sh.600406,2025-04-29,2025-03-31,0.013699,0.078050,0.242007,694264643.870000,0.957955,,8032088259.00,7996324758.00
sh.600406,2025-08-28,2025-06-30,0.060268,0.128855,0.264503,3123857222.000000,0.977270,24211165881.720000,8032088259.00,7996324758.00
sh.600406,2025-10-31,2025-09-30,0.098640,0.133394,0.264706,5145886084.850000,0.994439,,8032088259.00,7996324758.00
sh.600406,2024-04-26,2024-03-31,0.012564,0.078489,0.246807,604258691.000000,0.903218,,8032824078.00,7984484714.00
sh.600406,2024-08-29,2024-06-30,0.058500,0.142659,0.290293,2869461315.850000,0.920315,20077304475.770000,8032824078.00,7984484714.00
sh.600406,2024-10-30,2024-09-30,0.095921,0.146594,0.292556,4736947398.300000,0.933265,,8032824078.00,7984484714.00
sh.600406,2025-04-29,2024-12-31,0.157861,0.141884,0.266580,8146603659.580000,0.947378,57323415781.520000,8032824078.00,7984484714.00
sh.600519,2025-04-30,2025-03-31,0.109255,0.548895,0.919736,27774636011.610000,70.856961,,1256197800.00,1256197800.00
sh.600519,2025-08-13,2025-06-30,0.192486,0.525641,0.912993,46986681449.240000,71.593421,89352478256.560000,1256197800.00,1256197800.00
sh.600519,2025-10-30,2025-09-30,0.263688,0.520801,0.912934,66898804746.170000,71.891306,128397857400.000000,1252270215.00,1252270215.00
sh.600519,2024-04-27,2024-03-31,0.105688,0.543573,0.926133,24882347326.740000,62.095676,,1256197800.00,1256197800.00
sh.600519,2024-08-09,2024-06-30,0.192038,0.526991,0.917603,43176914345.120000,64.041879,81713935000.080000,1256197800.00,1256197800.00
sh.600519,2024-10-26,2024-09-30,0.268330,0.521887,0.915314,63031462239.550000,65.821964,,1256197800.00,1256197800.00
sh.600519,2025-04-03,2024-12-31,0.384283,0.522734,0.919312,89334728025.900000,68.642173,170611838052.020000,1256197800.00,1256197800.00
sh.600690,2025-04-30,2025-03-31,0.047894,0.071251,0.253961,5637227267.400000,2.074017,,9382913334.00,6254501095.00
sh.600690,2025-08-29,2025-06-30,0.106364,0.079780,0.268739,12485115799.440000,2.170379,155737423233.750000,9382913334.00,6254501095.00
sh.600690,2025-10-31,2025-09-30,0.150451,0.076230,0.272077,17841850016.480000,2.234442,,9382913334.00,6254501095.00
sh.600690,2024-04-30,2024-03-31,0.045285,0.070374,0.289546,4854201560.280000,1.843327,,9438114893.00,6308552654.00
sh.600690,2024-08-28,2024-06-30,0.099597,0.078212,0.306115,10607323142.130000,1.912880,134840839073.230000,9438114893.00,6308552654.00
