date,code,open,high,low,close,volume
2025-11-24,sh.000905,6856.7546,6905.9229,6797.4956,6868.9664,16636391300.0
2025-11-25,sh.000905,6915.1233,7018.4695,6912.3198,6954.6034,16271253000.0
2025-11-26,sh.000905,6946.0812,7024.8824,6936.8765,6965.0453,14894352600.0
2025-11-27,sh.000905,6970.7329,7045.8447,6943.4443,6951.2844,13784110300.0
2025-11-28,sh.000905,6947.2369,7031.7124,6941.4833,7031.5505,14021118400.0
2025-12-01,sh.000905,7053.8471,7101.8323,7040.8033,7101.8323,17897343200.0
2025-12-02,sh.000905,7084.799,7085.3031,7022.6102,7040.3008,14951819700.0
2025-12-03,sh.000905,7044.8568,7064.16,6975.0888,6996.3552,15783886700.0
2025-12-04,sh.000905,7001.6423,7039.7157,6958.6322,7012.8061,14103833800.0
2025-12-05,sh.000905,7008.6492,7104.0208,6965.8064,7097.8389,16873827400.0
2025-12-08,sh.000905,7119.051,7193.723,7114.3234,7172.3671,19261175000.0
2025-12-09,sh.000905,7150.9729,7185.1071,7103.8325,7121.3256,16690106600.0
2025-12-10,sh.000905,7111.5705,7171.9733,7070.4751,7155.9944,15396782700.0
2025-12-11,sh.000905,7171.2079,7179.4249,7082.8932,7082.8932,18184855400.0
2025-12-12,sh.000905,7088.1001,7187.0997,7063.8407,7169.791,19840247300.0
2025-12-15,sh.000905,7121.3805,7177.1541,7110.6781,7113.962,17217406400.0
2025-12-16,sh.000905,7101.6696,7102.7717,6962.6451,7001.3188,17206587400.0
2025-12-17,sh.000905,7002.5064,7160.7763,6988.871,7137.8339,17441313600.0
2025-12-18,sh.000905,7096.9815,7172.9624,7094.5396,7100.8359,15489612300.0
2025-12-19,sh.000905,7124.4045,7197.0681,7117.1583,7169.5511,17884314600.0
2025-12-22,sh.000905,7205.489,7277.386,7205.489,7255.6607,17824288100.0
2025-12-23,sh.000905,7257.9076,7297.7034,7228.7225,7256.7864,17347600200.0
2025-12-24,sh.000905,7257.615,7362.5704,7247.4054,7352.0396,16883771300.0
2025-12-25,sh.000905,7341.9223,7426.1367,7334.3404,7410.7119,16841420100.0
2025-12-26,sh.000905,7422.6014,7484.9158,7397.4255,7458.8386,19927688400.0
2025-12-29,sh.000905,7467.5042,7491.6926,7411.4472,7430.6147,19884433800.0
2025-12-30,sh.000905,7390.1398,7495.0606,7389.8691,7458.936,19620361500.0
2025-12-31,sh.000905,7473.7519,7488.0663,7435.0664,7465.5742,19442774300.0
2026-01-05,sh.000905,7523.8754,7651.2383,7523.2477,7651.1981,25185386300.0
2026-01-06,sh.000905,7663.9415,7814.6506,7663.6621,7814.1356,31312510200.0
2026-01-07,sh.000905,7838.9115,7909.6559,7828.3941,7875.0822,29390344000.0
2026-01-08,sh.000905,7853.2089,7938.5946,7849.0679,7894.5447,29356173500.0
2026-01-09,sh.000905,7907.8485,8064.7584,7907.8485,8056.6858,31462467400.0
2026-01-12,sh.000905,8141.6262,8261.3544,8103.2382,8249.1275,33523628600.0
2026-01-13,sh.000905,8270.4224,8270.4224,8106.6099,8143.28,36413103300.0
2026-01-14,sh.000905,8165.352,8368.2215,8123.4045,8227.697,42276600200.0
2026-01-15,sh.000905,8170.3486,8249.0307,8148.7884,8223.2683,31359583000.0
2026-01-16,sh.000905,8241.6934,8292.7409,8204.5254,8232.674,28197904200.0
2026-01-19,sh.000905,8199.4986,8318.3703,8195.089,8287.947,26149738200.0
2026-01-20,sh.000905,8307.6416,8342.8738,8142.1424,8247.8049,28986446000.0
2026-01-21,sh.000905,8196.5565,8351.4545,8196.5565,8340.1133,24330438100.0
2026-01-22,sh.000905,8355.6781,8396.1328,8337.195,8387.595,26880524300.0
2026-01-23,sh.000905,8422.3561,8590.1659,8417.752,8590.1659,31969006900.0
2026-01-26,sh.000905,8624.8883,8671.3461,8453.4762,8506.6932,34928559700.0
2026-01-27,sh.000905,8464.6504,8581.1049,8368.1751,8548.9321,30285260600.0
2026-01-28,sh.000905,8565.3388,8633.1468,8526.5335,8601.1644,31177425700.0
2026-01-29,sh.000905,8584.6806,8658.9445,8503.0945,8517.8429,35419838700.0
2026-01-30,sh.000905,8439.6524,8496.3367,8194.5842,8370.5203,32894717000.0
2026-02-02,sh.000905,8279.7152,8324.4341,8032.35,8037.0456,29964602200.0
2026-02-03,sh.000905,8135.8699,8286.7005,8075.3738,8286.7005,27222713600.0
2026-02-04,sh.000905,8270.842,8309.8579,8179.3522,8299.0574,26886027700.0
2026-02-05,sh.000905,8203.0627,8224.7847,8081.4283,8146.1073,23184051500.0
2026-02-06,sh.000905,8054.218,8247.2968,8014.6599,8146.4128,21864214400.0
2026-02-09,sh.000905,8280.1088,8313.4692,8229.0026,8311.2829,21166756600.0
2026-02-10,sh.000905,8318.5325,8331.9858,8258.1519,8306.4448,19580622000.0
2026-02-11,sh.000905,8295.3326,8373.5033,8295.1223,8325.8107,20401970300.0
2026-02-12,sh.000905,8342.365,8437.4202,8341.7705,8423.5695,21213831800.0
2026-02-13,sh.000905,8366.3327,8419.7618,8290.8388,8299.585,20278572500.0
2026-02-24,sh.000905,8403.3106,8444.1283,8328.5678,8392.9098,22462927800.0
