code,pubDate,statDate,roeAvg,npMargin,gpMargin,netProfit,epsTTM,MBRevenue,totalShare,liqaShare
sz.000538,2025-04-01,2024-12-31,0.120680,0.119078,0.278981,4767072360.280000,2.661837,39983936095.250000,1784262603.00,1772695245.00
sz.000538,2025-04-29,2025-03-31,0.048609,0.177794,0.315545,1927511203.490000,2.792259,,1784262603.00,1772695245.00
sz.000538,2025-08-30,2025-06-30,0.091696,0.171453,0.308567,3644599967.940000,2.910725,21257102896.020000,1784262603.00,1772794114.00
sz.000538,2025-10-31,2025-09-30,0.121609,0.156232,0.300599,4789170075.420000,2.914261,,1784262603.00,1772794114.00
sz.000568,2024-04-27,2024-03-31,0.104402,0.498277,0.883724,4578371131.940000,9.584133,,1471987769.00,1467265140.00
sz.000568,2024-08-31,2024-06-30,0.193006,0.475972,0.885709,8046259026.390000,9.635614,16904885169.380000,1471987769.00,1467140830.00
sz.000568,2024-10-31,2024-09-30,0.267062,0.477602,0.884345,11607436249.070000,9.696765,,1471966503.00,1467155505.00
sz.000568,2025-04-28,2024-12-31,0.303514,0.432673,0.875366,13497778570.890000,9.153146,31196248208.330000,1471951503.00,1467301544.00
sz.000568,2025-04-28,2025-03-31,0.094159,0.493127,0.865095,4611806061.910000,9.165938,,1471951503.00,1469361143.00
sz.000568,2025-08-30,2025-06-30,0.163164,0.466986,0.870903,7683660159.620000,8.905427,16453732904.650000,1471951503.00,1469164883.00
sz.000568,2025-10-31,2025-09-30,0.221749,0.466748,0.871134,10794690617.950000,8.588829,,1471951503.00,1469446263.00
sz.000596,2024-04-27,2024-03-31,0.091612,0.256528,0.803496,2125672049.520000,9.620311,,528600000.00,408600000.00
sz.000596,2024-08-31,2024-06-30,0.161499,0.266478,0.804091,3678916313.790000,10.182522,13805693542.350000,528600000.00,408600000.00
sz.000596,2024-10-31,2024-09-30,0.209005,0.256802,0.797082,4896859338.220000,10.448398,,528600000.00,408600000.00
sz.000596,2025-04-28,2024-12-31,0.238933,0.242032,0.799047,5706611578.810000,10.437478,23577928065.990000,528600000.00,408600000.00
sz.000596,2025-04-28,2025-03-31,0.091155,0.261216,0.796840,2389098496.170000,10.936925,,528600000.00,408600000.00
sz.000596,2025-08-30,2025-06-30,0.146992,0.272160,0.798735,3777540743.970000,10.605458,13879852202.750000,528600000.00,408600000.00
sz.000596,2025-10-31,2025-09-30,0.158033,0.248620,0.798669,4083496510.270000,8.949982,,528600000.00,408600000.00
sz.000617,2024-04-30,2024-03-31,0.017129,18.862484,-0.192130,3662547051.420000,0.353187,,12642079079.00,12642079079.00
