code,pubDate,statDate,roeAvg,npMargin,gpMargin,netProfit,epsTTM,MBRevenue,totalShare,liqaShare
sh.688318,2025-08-30,2025-06-30,0.029567,0.805178,0.795309,107028385.780000,1.212640,132829383.860000,256119472.00,256119472.00
sh.688318,2025-10-31,2025-09-30,0.050353,0.929069,0.785216,184214578.180000,1.343673,,256119472.00,256119472.00
sh.688322,2024-04-30,2024-03-31,-0.009599,-0.299280,0.374775,-27806552.460000,-0.591360,,400001000.00,245933260.00
sh.688322,2024-08-24,2024-06-30,-0.017876,-0.243730,0.425398,-51991453.740000,-0.472600,213049408.200000,400001000.00,255536260.00
sh.688322,2024-10-25,2024-09-30,-0.020268,-0.169235,0.439884,-59378681.130000,-0.360632,,400001000.00,257064800.00
sh.688322,2025-04-22,2024-12-31,-0.021386,-0.111433,0.417808,-62899080.500000,-0.157267,560831865.600000,400001000.00,257064800.00
sh.688322,2025-04-29,2025-03-31,0.008436,0.126485,0.421217,24165982.510000,-0.024528,,400001000.00,257064800.00
sh.688322,2025-08-12,2025-06-30,0.020757,0.137032,0.412721,59673430.550000,0.126293,434835022.130000,401099840.00,258163640.00
sh.688322,2025-10-25,2025-09-30,0.036967,0.150846,0.427960,107703494.600000,0.262824,,401099840.00,292195880.00
sh.688336,2024-04-26,2024-03-31,0.018437,0.332570,0.770771,88761200.000000,0.571055,,616785793.00,92741491.00
sh.688336,2024-08-23,2024-06-30,0.026194,0.208455,0.733306,124368600.000000,0.534011,596619700.000000,616785793.00,92741491.00
sh.688336,2024-10-23,2024-09-30,0.046752,0.237126,0.753785,222757400.000000,0.589746,,616785793.00,616785793.00
sh.688336,2025-03-26,2024-12-31,0.134670,0.579266,0.745013,691393153.470000,1.142340,1178683300.000000,616785793.00,616785793.00
sh.688336,2025-04-23,2025-03-31,0.018321,0.321795,0.758870,100116500.000000,1.161531,,616785793.00,616785793.00
sh.688336,2025-08-30,2025-06-30,0.033785,0.289334,0.701987,185756600.000000,1.240935,642013400.000000,616785793.00,616785793.00
sh.688336,2025-10-24,2025-09-30,0.069571,0.349201,0.768490,389706600.000000,1.411171,,616785793.00,616785793.00
sh.688347,2024-05-10,2024-03-31,0.005101,-0.055682,0.148944,-183598290.080000,0.648744,,1716772427.00,203875000.00
sh.688347,2024-08-30,2024-06-30,0.006107,-0.071998,0.163448,-484701754.190000,0.356617,6732158761.100000,1717328145.00,203875000.00
sh.688347,2024-11-08,2024-09-30,0.013283,-0.031213,0.171961,-327805225.060000,0.482971,,1717713180.00,391440000.00
sh.688347,2025-03-28,2024-12-31,0.008753,-0.071738,0.174334,-1032183752.040000,0.221462,14388307712.890000,1718468815.00,391440000.00
sh.688347,2025-05-09,2025-03-31,0.000521,-0.096717,0.177529,-378407855.010000,0.105233,,1725654069.00,391440000.00
sh.688347,2025-08-29,2025-06-30,0.001701,-0.077457,0.175743,-621025434.750000,0.109998,8017656907.530000,1727079598.00,391440000.00
sh.688347,2025-11-07,2025-09-30,0.005704,-0.054101,0.189195,-680770213.320000,0.031068,,1735454403.00,407750000.00
sh.688349,2024-04-30,2024-03-31,0.020758,0.153813,0.196689,265775000.000000,1.484688,,1205521015.00,185963500.00
sh.688349,2024-08-30,2024-06-30,0.034576,0.082108,0.160071,433565000.000000,1.346527,5262600000.000000,1205521015.00,188285715.00
sh.688349,2024-10-31,2024-09-30,0.053986,0.075523,0.155258,684844000.000000,1.354196,,1226404215.00,188285715.00
sh.688349,2025-04-29,2024-12-31,0.136665,0.101845,0.168975,1811984000.000000,1.477476,17665527000.000000,1226404215.00,188285715.00
sh.688349,2025-04-29,2025-03-31,-0.014007,-0.087444,0.064947,-191256000.000000,1.104817,,1226404215.00,188285715.00
sh.688349,2025-08-29,2025-06-30,0.015535,0.024447,0.105608,210099000.000000,1.295264,8594090000.000000,1226404215.00,234547515.00
sh.688349,2025-10-31,2025-09-30,0.009025,0.008430,0.080531,121824000.000000,1.018393,,1226404215.00,247246015.00
sh.688361,2024-04-25,2024-03-31,0.014100,0.145375,0.543383,34240129.570000,0.447555,,320000000.00,64817093.00
sh.688361,2024-08-31,2024-06-30,-0.028705,-0.146640,0.462306,-68014662.720000,0.082471,456865691.130000,320000000.00,244156875.00
sh.688361,2024-10-31,2024-09-30,-0.021692,-0.063865,0.476942,-51885433.350000,0.029177,,320000000.00,244156875.00
sh.688361,2025-04-04,2024-12-31,-0.004754,-0.008349,0.488984,-11525122.930000,-0.036016,1345599406.180000,320000000.00,244156875.00
sh.688361,2025-04-26,2025-03-31,-0.006112,-0.050859,0.580762,-14960459.190000,-0.189768,,320000000.00,244156875.00
sh.688361,2025-08-19,2025-06-30,-0.007399,-0.026139,0.543064,-18354349.610000,0.118583,681936082.760000,321591809.00,248291056.00
sh.688361,2025-10-31,2025-09-30,-0.005896,-0.012231,0.519722,-14698489.560000,0.079796,,321591809.00,248291056.00
sh.688363,2024-04-30,2024-03-31,0.034687,0.178892,0.757314,243387652.320000,1.319216,,481678242.00,198178242.00
sh.688363,2024-08-24,2024-06-30,0.049070,0.121144,0.745163,340504211.440000,1.058202,2802592385.920000,481678242.00,198178242.00
sh.688363,2024-10-31,2024-09-30,0.051855,0.092664,0.739289,359049886.130000,0.913844,,481678242.00,198178242.00
sh.688363,2025-04-11,2024-12-31,0.025340,0.031356,0.740715,168405915.370000,0.361792,5361281587.970000,481678242.00,481678242.00
sh.688363,2025-04-26,2025-03-31,0.014833,0.093825,0.721517,101136170.050000,0.068082,,481678242.00,481678242.00
sh.688363,2025-08-27,2025-06-30,0.031908,0.097671,0.709941,220803434.470000,0.110766,2260093777.480000,481678242.00,481678242.00
sh.688363,2025-10-29,2025-09-30,0.036393,0.079763,0.706849,252322879.320000,0.134164,,481678242.00,481678242.00
sh.688375,2024-04-30,2024-03-31,0.019931,0.174230,0.356333,120776726.470000,1.527760,,400010000.00,177215260.00
sh.688375,2024-08-26,2024-06-30,0.039944,0.187743,0.351369,244556106.080000,1.355294,1283828724.120000,400010000.00,176969060.00
sh.688375,2024-10-30,2024-09-30,0.051050,0.168952,0.363882,306409434.580000,0.775986,,596014900.00,265472346.00
sh.688375,2025-04-11,2024-12-31,0.079556,0.187045,0.385929,484648968.260000,0.813149,2557934258.860000,596014900.00,265472346.00
sh.688375,2025-04-18,2025-03-31,0.009257,0.164368,0.430084,57531429.420000,0.707035,,596014900.00,265472346.00
sh.688375,2025-08-29,2025-06-30,0.032642,0.188106,0.391108,201365853.840000,0.740684,1056817050.530000,596014900.00,265472346.00
sh.688375,2025-10-30,2025-09-30,0.039907,0.157548,0.381178,247115081.240000,0.713664,,596014900.00,596014900.00
sh.688385,2024-04-30,2024-03-31,0.029910,0.177369,0.566476,158345185.160000,0.845454,,819060400.00,318380400.00
sh.688385,2024-08-29,2024-06-30,0.063856,0.189335,0.564895,339684234.430000,0.754908,1794095311.260000,819060400.00,318380400.00
sh.688385,2024-10-31,2024-09-30,0.077606,0.153127,0.550494,410937493.420000,0.606294,,819060400.00,534730400.00
sh.688385,2025-03-26,2024-12-31,0.102276,0.155912,0.559470,559758915.130000,0.697073,3584932100.000000,821427300.00,537097300.00
sh.688385,2025-04-29,2025-03-31,0.022829,0.144962,0.581352,128718576.650000,0.666554,,821427300.00,537097300.00
sh.688385,2025-08-28,2025-06-30,0.032464,0.098147,0.568030,180478183.950000,0.509013,1838851016.480000,821427300.00,537097300.00
sh.688385,2025-10-29,2025-09-30,0.054725,0.103269,0.584719,312330699.870000,0.579048,,821427300.00,537097300.00
sh.688387,2024-04-26,2024-03-31,-0.024477,-0.181339,0.216614,-175721812.310000,-0.161833,,3418750000.00,669110575.00
sh.688387,2024-08-17,2024-06-30,-0.009424,-0.027099,0.252584,-81092870.230000,-0.101121,,3418750000.00,669110575.00
sh.688387,2024-10-22,2024-09-30,-0.026264,-0.047791,0.233923,-198138342.570000,-0.094922,,3418750000.00,1378750000.00
sh.688387,2025-04-25,2024-12-31,-0.043418,-0.042048,0.227497,-272942740.730000,-0.081503,6439165917.750000,3418750000.00,1378750000.00
sh.688387,2025-04-25,2025-03-31,-0.025211,-0.210017,0.186927,-171183997.450000,-0.080836,,3418750000.00,1378750000.00
sh.688387,2025-08-23,2025-06-30,-0.009896,-0.029731,0.266397,-75434088.620000,-0.081600,,3418750000.00,1378750000.00
sh.688387,2025-10-25,2025-09-30,-0.026692,-0.051383,0.233123,-193335090.140000,-0.080094,,3418750000.00,2016777200.00
sh.688425,2024-04-30,2024-03-31,0.022058,0.153969,0.314192,368768919.560000,0.289831,,5333497000.00,1477957000.00
sh.688425,2024-08-31,2024-06-30,0.043415,0.150543,0.306292,723078138.210000,0.242100,4775847700.000000,5333497000.00,1477957000.00
sh.688425,2024-10-31,2024-09-30,0.061250,0.151411,0.308771,1029674545.670000,0.263878,,5333497000.00,1477957000.00
sh.688425,2025-03-29,2024-12-31,0.088470,0.150129,0.307534,1508201405.990000,0.282728,9992713800.000000,5333497000.00,1477957000.00
sh.688425,2025-04-29,2025-03-31,0.018745,0.140995,0.304345,332242657.830000,0.275877,,5333497000.00,1477957000.00
sh.688425,2025-08-29,2025-06-30,0.041557,0.152045,0.302028,735498163.940000,0.285070,4817164491.450000,5333497000.00,5333497000.00
sh.688425,2025-10-30,2025-09-30,0.056308,0.151344,0.296503,1004082560.620000,0.277963,,5333497000.00,5333497000.00
sh.688469,2024-04-30,2024-03-31,-0.019578,-0.480436,-0.066753,-650028206.010000,-0.241402,,7045747150.00,1099800000.00
sh.688469,2024-08-31,2024-06-30,-0.038441,-0.391352,-0.042465,-1126924140.490000,-0.187210,,7053657113.00,4395960000.00
sh.688469,2024-10-29,2024-09-30,-0.055955,-0.362447,-0.004314,-1648196230.220000,-0.181678,,7053657113.00,4395960000.00
sh.688469,2025-04-29,2024-12-31,-0.077581,-0.345133,0.010296,-2246503325.610000,-0.136301,6276082906.150000,7059087013.00,4395960000.00
sh.688469,2025-04-29,2025-03-31,-0.014826,-0.317188,0.036706,-549904618.360000,-0.127645,,7069085200.00,4395960000.00
sh.688469,2025-08-05,2025-06-30,-0.013767,-0.268004,0.035433,-936728512.330000,-0.093611,,7069085200.00,4429800000.00
sh.688469,2025-10-28,2025-09-30,-0.036266,-0.290760,0.039721,-1576488174.690000,-0.088400,,8382687172.00,4429800000.00
sh.688475,2024-04-13,2024-03-31,0.023503,0.101264,0.427239,125253301.270000,1.061375,,562500000.00,289125000.00
sh.688475,2024-08-10,2024-06-30,0.053471,0.109025,0.433446,281657971.290000,0.744008,2566480308.660000,787500000.00,404775000.00
sh.688475,2024-10-26,2024-09-30,0.070508,0.094577,0.428801,374776500.830000,0.680703,,787500000.00,404775000.00
sh.688475,2025-04-12,2024-12-31,0.093682,0.092601,0.420849,503927731.050000,0.639908,5398699115.530000,787500000.00,409500000.00
sh.688475,2025-04-12,2025-03-31,0.024817,0.100022,0.425473,138056259.100000,0.656450,,787500000.00,409500000.00
sh.688475,2025-08-02,2025-06-30,0.054906,0.106966,0.435900,302445647.670000,0.666305,2810887854.330000,787500000.00,409500000.00
sh.688475,2025-10-18,2025-09-30,0.075844,0.098375,0.436296,422313004.870000,0.700272,,787500000.00,409500000.00
sh.688520,2024-04-26,2024-03-31,,0.121483,0.966553,74408961.170000,-0.379061,,445335714.00,443266606.00
sh.688520,2024-08-22,2024-06-30,,0.096632,0.965849,126073272.070000,-0.297428,1304669628.080000,445335714.00,445335714.00
sh.688520,2024-10-29,2024-09-30,,0.077653,0.962828,150412418.630000,-0.058608,,445335714.00,445335714.00
sh.688520,2025-04-26,2024-12-31,,0.044712,0.959127,112348956.050000,0.251386,2512094300.610000,445335714.00,445335714.00
sh.688520,2025-04-26,2025-03-31,0.369499,0.123023,0.948760,63939729.620000,0.227966,,445335714.00,445335714.00
sh.688520,2025-08-29,2025-06-30,-0.268306,-0.034833,0.947869,-33858151.290000,-0.106719,972020482.480000,445335714.00,445335714.00
sh.688520,2025-10-31,2025-09-30,-5.409097,-0.191541,0.940902,-251279601.670000,-0.648220,,445335714.00,445335714.00
sh.688525,2024-04-30,2024-03-31,0.081955,0.090970,0.247408,157072617.090000,-0.768671,,430329136.00,250894325.00
sh.688525,2024-08-23,2024-06-30,0.130228,0.079308,0.255530,272880040.070000,-0.103631,3332060894.150000,429625672.00,248039261.00
sh.688525,2024-10-31,2024-09-30,0.104167,0.041731,0.225138,209708042.150000,0.203528,,431240342.00,308937697.00
